Pair,Strategy,Factor,Bucket,Trades,WinRate%,Exp(R),PF,Stable_Years%,Valid_Sample,Yearly_Exp_R
EURUSD,TF_PB,atr_bucket,80-100% (Highest),23,47.83,0.306,1.16,33.3,False,"{np.int64(2023): -0.13, np.int64(2024): 0.576, np.int64(2025): -0.115, np.int64(2026): None}"
EURUSD,TF_PB,atr_bucket,40-60% (Mid),145,31.72,-0.211,0.75,25.0,True,"{np.int64(2023): 0.299, np.int64(2024): -0.433, np.int64(2025): -0.171, np.int64(2026): -0.572}"
EURUSD,TF_PB,atr_bucket,20-40% (Low),237,32.91,-0.24,0.75,0.0,True,"{np.int64(2023): -0.188, np.int64(2024): -0.36, np.int64(2025): -0.04, np.int64(2026): -0.488}"
EURUSD,TF_PB,atr_bucket,60-80% (High),62,22.58,-0.519,0.47,0.0,True,"{np.int64(2023): -0.857, np.int64(2024): -0.549, np.int64(2025): -0.116, np.int64(2026): -0.42}"
EURUSD,TF_PB,atr_bucket,0-20% (Lowest),212,25.0,-0.584,0.47,0.0,True,"{np.int64(2023): -0.542, np.int64(2024): -0.758, np.int64(2025): -0.397, np.int64(2026): -0.613}"
EURUSD,TF_PB,adx_bucket,Medium (18-28),212,33.02,-0.268,0.73,25.0,True,"{np.int64(2023): -0.208, np.int64(2024): -0.435, np.int64(2025): 0.002, np.int64(2026): -0.389}"
EURUSD,TF_PB,adx_bucket,High (>28),467,28.27,-0.385,0.64,0.0,True,"{np.int64(2023): -0.326, np.int64(2024): -0.542, np.int64(2025): -0.235, np.int64(2026): -0.528}"
EURUSD,TF_PB,trend_regime,STRONG_BULL,198,32.32,-0.26,0.74,0.0,True,"{np.int64(2023): -0.175, np.int64(2024): -0.248, np.int64(2025): -0.257, np.int64(2026): -0.439}"
EURUSD,TF_PB,trend_regime,WEAK_BULL,160,32.5,-0.286,0.73,25.0,True,"{np.int64(2023): -0.416, np.int64(2024): -0.632, np.int64(2025): -0.048, np.int64(2026): 0.038}"
EURUSD,TF_PB,trend_regime,STRONG_BEAR,172,30.81,-0.317,0.68,0.0,True,"{np.int64(2023): -0.157, np.int64(2024): -0.849, np.int64(2025): -0.008, np.int64(2026): -0.325}"
EURUSD,TF_PB,trend_regime,WEAK_BEAR,149,22.15,-0.568,0.48,0.0,True,"{np.int64(2023): -0.485, np.int64(2024): -0.292, np.int64(2025): -0.437, np.int64(2026): -1.034}"
EURUSD,TF_PB,vol_regime,HIGH_VOL,28,42.86,0.162,0.97,75.0,True,"{np.int64(2023): 0.169, np.int64(2024): 0.364, np.int64(2025): -0.263, np.int64(2026): 0.382}"
EURUSD,TF_PB,vol_regime,EXPANSION,6,33.33,-0.176,0.61,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,vol_regime,NORMAL_VOL,218,28.9,-0.315,0.7,0.0,True,"{np.int64(2023): -0.327, np.int64(2024): -0.421, np.int64(2025): -0.11, np.int64(2026): -0.496}"
EURUSD,TF_PB,vol_regime,LOW_VOL,375,29.6,-0.382,0.63,0.0,True,"{np.int64(2023): -0.288, np.int64(2024): -0.552, np.int64(2025): -0.128, np.int64(2026): -0.694}"
EURUSD,TF_PB,vol_regime,CONTRACTION,52,26.92,-0.536,0.41,25.0,True,"{np.int64(2023): -0.519, np.int64(2024): -0.744, np.int64(2025): -0.765, np.int64(2026): 0.041}"
EURUSD,TF_PB,combined_regime,STRONG_BEAR__EXPANSION,3,66.67,0.832,1.7,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,WEAK_BULL__HIGH_VOL,5,60.0,0.664,2.44,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,STRONG_BULL__HIGH_VOL,9,44.44,0.219,0.88,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,STRONG_BEAR__HIGH_VOL,11,36.36,-0.037,0.83,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,WEAK_BEAR__HIGH_VOL,3,33.33,-0.114,0.47,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,STRONG_BULL__NORMAL_VOL,78,32.05,-0.216,0.76,0.0,True,"{np.int64(2023): -0.177, np.int64(2024): -0.092, np.int64(2025): -0.274, np.int64(2026): -0.279}"
EURUSD,TF_PB,combined_regime,STRONG_BULL__LOW_VOL,100,35.0,-0.225,0.81,25.0,True,"{np.int64(2023): 0.199, np.int64(2024): -0.315, np.int64(2025): -0.262, np.int64(2026): -0.622}"
EURUSD,TF_PB,combined_regime,WEAK_BEAR__CONTRACTION,11,36.36,-0.244,0.53,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,WEAK_BULL__LOW_VOL,99,32.32,-0.306,0.63,25.0,True,"{np.int64(2023): -0.392, np.int64(2024): -0.531, np.int64(2025): 0.01, np.int64(2026): -0.4}"
EURUSD,TF_PB,combined_regime,WEAK_BULL__CONTRACTION,20,35.0,-0.318,0.68,50.0,False,"{np.int64(2023): None, np.int64(2024): -0.717, np.int64(2025): None, np.int64(2026): 0.405}"
EURUSD,TF_PB,combined_regime,WEAK_BULL__NORMAL_VOL,35,28.57,-0.321,0.84,50.0,True,"{np.int64(2023): -0.654, np.int64(2024): -1.224, np.int64(2025): 0.038, np.int64(2026): 0.099}"
EURUSD,TF_PB,combined_regime,STRONG_BEAR__NORMAL_VOL,62,29.03,-0.321,0.66,25.0,True,"{np.int64(2023): -0.603, np.int64(2024): -0.391, np.int64(2025): 0.032, np.int64(2026): -0.501}"
EURUSD,TF_PB,combined_regime,STRONG_BEAR__LOW_VOL,84,30.95,-0.353,0.66,25.0,True,"{np.int64(2023): -0.254, np.int64(2024): -1.035, np.int64(2025): 0.308, np.int64(2026): -0.625}"
EURUSD,TF_PB,combined_regime,WEAK_BEAR__NORMAL_VOL,43,23.26,-0.48,0.56,0.0,True,"{np.int64(2023): -0.171, np.int64(2024): -0.374, np.int64(2025): -0.178, np.int64(2026): -1.251}"
EURUSD,TF_PB,combined_regime,STRONG_BEAR__CONTRACTION,12,25.0,-0.591,0.37,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,WEAK_BEAR__LOW_VOL,92,19.57,-0.663,0.43,0.0,True,"{np.int64(2023): -0.652, np.int64(2024): -0.488, np.int64(2025): -0.567, np.int64(2026): -0.908}"
EURUSD,TF_PB,combined_regime,WEAK_BULL__EXPANSION,1,0.0,-1.117,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,STRONG_BULL__EXPANSION,2,0.0,-1.218,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,combined_regime,STRONG_BULL__CONTRACTION,9,0.0,-1.301,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,session,NY_LATE,20,40.0,0.025,1.26,50.0,False,"{np.int64(2023): 0.038, np.int64(2024): -0.191, np.int64(2025): None, np.int64(2026): None}"
EURUSD,TF_PB,session,OVERLAP,249,28.92,-0.319,0.63,0.0,True,"{np.int64(2023): -0.11, np.int64(2024): -0.23, np.int64(2025): -0.365, np.int64(2026): -0.6}"
EURUSD,TF_PB,session,LONDON,410,29.76,-0.384,0.66,0.0,True,"{np.int64(2023): -0.44, np.int64(2024): -0.654, np.int64(2025): -0.08, np.int64(2026): -0.398}"
EURUSD,TF_PB,day_of_week,Wednesday,133,37.59,-0.122,0.87,25.0,True,"{np.int64(2023): -0.156, np.int64(2024): 0.122, np.int64(2025): -0.133, np.int64(2026): -0.405}"
EURUSD,TF_PB,day_of_week,Thursday,141,34.75,-0.212,0.79,0.0,True,"{np.int64(2023): -0.174, np.int64(2024): -0.362, np.int64(2025): -0.175, np.int64(2026): -0.133}"
EURUSD,TF_PB,day_of_week,Monday,128,31.25,-0.284,0.81,25.0,True,"{np.int64(2023): -0.403, np.int64(2024): -0.579, np.int64(2025): 0.072, np.int64(2026): -0.293}"
EURUSD,TF_PB,day_of_week,Tuesday,133,24.06,-0.508,0.5,0.0,True,"{np.int64(2023): -0.457, np.int64(2024): -0.691, np.int64(2025): -0.271, np.int64(2026): -0.676}"
EURUSD,TF_PB,day_of_week,Friday,144,21.53,-0.599,0.43,0.0,True,"{np.int64(2023): -0.273, np.int64(2024): -0.879, np.int64(2025): -0.376, np.int64(2026): -0.913}"
EURUSD,TF_PB,spread_bucket,Low (<=1.0p),679,29.75,-0.348,0.66,0.0,True,"{np.int64(2023): -0.294, np.int64(2024): -0.497, np.int64(2025): -0.173, np.int64(2026): -0.487}"
EURUSD,TF_PB,htf_alignment,ALIGNED,427,30.44,-0.327,0.71,0.0,True,"{np.int64(2023): -0.248, np.int64(2024): -0.462, np.int64(2025): -0.123, np.int64(2026): -0.539}"
EURUSD,TF_PB,htf_alignment,NEUTRAL,252,28.57,-0.384,0.59,0.0,True,"{np.int64(2023): -0.397, np.int64(2024): -0.577, np.int64(2025): -0.235, np.int64(2026): -0.42}"
EURUSD,TF_PB,direction_label,LONG,358,32.4,-0.272,0.74,0.0,True,"{np.int64(2023): -0.277, np.int64(2024): -0.421, np.int64(2025): -0.161, np.int64(2026): -0.217}"
EURUSD,TF_PB,direction_label,SHORT,321,26.79,-0.434,0.59,0.0,True,"{np.int64(2023): -0.312, np.int64(2024): -0.596, np.int64(2025): -0.188, np.int64(2026): -0.694}"
EURUSD,VE_BO,atr_bucket,40-60% (Mid),219,31.05,-0.242,0.76,0.0,True,"{np.int64(2023): -0.305, np.int64(2024): -0.266, np.int64(2025): -0.187, np.int64(2026): -0.186}"
EURUSD,VE_BO,atr_bucket,0-20% (Lowest),89,33.71,-0.251,0.78,25.0,True,"{np.int64(2023): -0.592, np.int64(2024): -0.211, np.int64(2025): 0.233, np.int64(2026): -0.381}"
EURUSD,VE_BO,atr_bucket,20-40% (Low),295,31.86,-0.271,0.72,25.0,True,"{np.int64(2023): -0.37, np.int64(2024): -0.463, np.int64(2025): -0.253, np.int64(2026): 0.224}"
EURUSD,VE_BO,atr_bucket,60-80% (High),77,25.97,-0.352,0.57,0.0,True,"{np.int64(2023): -0.427, np.int64(2024): -0.323, np.int64(2025): -0.399, np.int64(2026): -0.243}"
EURUSD,VE_BO,atr_bucket,80-100% (Highest),31,12.9,-0.765,0.23,0.0,True,"{np.int64(2023): -0.668, np.int64(2024): -1.192, np.int64(2025): -0.753, np.int64(2026): -0.505}"
EURUSD,VE_BO,adx_bucket,Low (<18),168,33.93,-0.174,0.82,0.0,True,"{np.int64(2023): -0.079, np.int64(2024): -0.234, np.int64(2025): -0.323, np.int64(2026): -0.023}"
EURUSD,VE_BO,adx_bucket,High (>28),237,29.96,-0.307,0.65,0.0,True,"{np.int64(2023): -0.362, np.int64(2024): -0.286, np.int64(2025): -0.361, np.int64(2026): -0.145}"
EURUSD,VE_BO,adx_bucket,Medium (18-28),306,28.76,-0.34,0.64,25.0,True,"{np.int64(2023): -0.607, np.int64(2024): -0.504, np.int64(2025): -0.037, np.int64(2026): 0.03}"
EURUSD,VE_BO,trend_regime,WEAK_BEAR,73,36.99,-0.057,0.93,50.0,True,"{np.int64(2023): -0.164, np.int64(2024): 0.329, np.int64(2025): -0.644, np.int64(2026): 0.196}"
EURUSD,VE_BO,trend_regime,STRONG_BEAR,79,35.44,-0.124,0.85,25.0,True,"{np.int64(2023): -0.285, np.int64(2024): -0.111, np.int64(2025): -0.225, np.int64(2026): 0.152}"
EURUSD,VE_BO,trend_regime,WEAK_BULL,56,32.14,-0.204,0.81,66.7,True,"{np.int64(2023): 0.171, np.int64(2024): -0.711, np.int64(2025): 0.003, np.int64(2026): None}"
EURUSD,VE_BO,trend_regime,CHOPPY,417,29.02,-0.345,0.63,0.0,True,"{np.int64(2023): -0.472, np.int64(2024): -0.423, np.int64(2025): -0.239, np.int64(2026): -0.138}"
EURUSD,VE_BO,trend_regime,STRONG_BULL,86,25.58,-0.427,0.5,25.0,True,"{np.int64(2023): -0.7, np.int64(2024): -0.497, np.int64(2025): -0.085, np.int64(2026): 0.117}"
EURUSD,VE_BO,vol_regime,HIGH_VOL,12,33.33,-0.151,0.68,0.0,False,"{np.int64(2023): -0.325, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,vol_regime,NORMAL_VOL,129,30.23,-0.282,0.66,0.0,True,"{np.int64(2023): -0.408, np.int64(2024): -0.119, np.int64(2025): -0.425, np.int64(2026): -0.074}"
EURUSD,VE_BO,vol_regime,LOW_VOL,376,31.12,-0.287,0.72,0.0,True,"{np.int64(2023): -0.49, np.int64(2024): -0.47, np.int64(2025): -0.016, np.int64(2026): -0.007}"
EURUSD,VE_BO,vol_regime,EXPANSION,194,28.87,-0.31,0.63,0.0,True,"{np.int64(2023): -0.232, np.int64(2024): -0.335, np.int64(2025): -0.503, np.int64(2026): -0.067}"
EURUSD,VE_BO,combined_regime,STRONG_BULL__HIGH_VOL,1,100.0,2.009,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,STRONG_BEAR__HIGH_VOL,1,100.0,1.438,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,STRONG_BEAR__LOW_VOL,32,43.75,0.154,1.3,75.0,True,"{np.int64(2023): 0.372, np.int64(2024): 0.327, np.int64(2025): -0.153, np.int64(2026): 0.153}"
EURUSD,VE_BO,combined_regime,WEAK_BULL__LOW_VOL,21,42.86,0.077,1.57,66.7,False,"{np.int64(2023): 0.378, np.int64(2024): -0.915, np.int64(2025): 0.765, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,WEAK_BEAR__NORMAL_VOL,17,41.18,0.036,0.99,100.0,False,"{np.int64(2023): 0.558, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,WEAK_BEAR__LOW_VOL,35,37.14,-0.084,0.9,50.0,True,"{np.int64(2023): -0.212, np.int64(2024): 0.095, np.int64(2025): -0.588, np.int64(2026): 0.625}"
EURUSD,VE_BO,combined_regime,WEAK_BEAR__EXPANSION,18,33.33,-0.086,0.98,50.0,False,"{np.int64(2023): -0.606, np.int64(2024): 0.634, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,STRONG_BEAR__NORMAL_VOL,21,38.1,-0.092,0.9,66.7,False,"{np.int64(2023): -0.816, np.int64(2024): None, np.int64(2025): 0.434, np.int64(2026): 0.565}"
EURUSD,VE_BO,combined_regime,WEAK_BEAR__HIGH_VOL,3,33.33,-0.096,0.78,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,STRONG_BULL__EXPANSION,21,33.33,-0.145,0.82,0.0,False,"{np.int64(2023): -0.068, np.int64(2024): -0.401, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,WEAK_BULL__NORMAL_VOL,6,33.33,-0.168,0.57,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,CHOPPY__NORMAL_VOL,59,32.2,-0.198,0.81,25.0,True,"{np.int64(2023): 0.235, np.int64(2024): -0.042, np.int64(2025): -0.321, np.int64(2026): -0.475}"
EURUSD,VE_BO,combined_regime,CHOPPY__EXPANSION,103,30.1,-0.306,0.62,25.0,True,"{np.int64(2023): -0.235, np.int64(2024): -0.362, np.int64(2025): -0.497, np.int64(2026): 0.061}"
EURUSD,VE_BO,combined_regime,STRONG_BULL__LOW_VOL,38,28.95,-0.35,0.56,33.3,True,"{np.int64(2023): -1.287, np.int64(2024): -0.507, np.int64(2025): 0.3, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,WEAK_BULL__EXPANSION,27,25.93,-0.361,0.61,33.3,True,"{np.int64(2023): 0.181, np.int64(2024): -0.814, np.int64(2025): -0.138, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,CHOPPY__LOW_VOL,250,28.0,-0.393,0.61,0.0,True,"{np.int64(2023): -0.663, np.int64(2024): -0.541, np.int64(2025): -0.124, np.int64(2026): -0.041}"
EURUSD,VE_BO,combined_regime,CHOPPY__HIGH_VOL,5,20.0,-0.532,0.27,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,STRONG_BEAR__EXPANSION,25,20.0,-0.57,0.41,0.0,True,"{np.int64(2023): None, np.int64(2024): -0.32, np.int64(2025): -0.808, np.int64(2026): -0.193}"
EURUSD,VE_BO,combined_regime,STRONG_BULL__NORMAL_VOL,26,11.54,-0.859,0.19,0.0,True,"{np.int64(2023): -1.221, np.int64(2024): -0.601, np.int64(2025): -1.237, np.int64(2026): None}"
EURUSD,VE_BO,combined_regime,WEAK_BULL__HIGH_VOL,2,0.0,-1.154,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,VE_BO,session,OVERLAP,327,31.8,-0.219,0.71,0.0,True,"{np.int64(2023): -0.354, np.int64(2024): -0.2, np.int64(2025): -0.241, np.int64(2026): -0.021}"
EURUSD,VE_BO,session,LONDON,367,29.43,-0.348,0.67,0.0,True,"{np.int64(2023): -0.43, np.int64(2024): -0.522, np.int64(2025): -0.174, np.int64(2026): -0.049}"
EURUSD,VE_BO,session,NY_LATE,17,23.53,-0.411,0.38,0.0,False,"{np.int64(2023): -0.533, np.int64(2024): None, np.int64(2025): -0.571, np.int64(2026): None}"
EURUSD,VE_BO,day_of_week,Thursday,162,36.42,-0.074,0.88,25.0,True,"{np.int64(2023): -0.241, np.int64(2024): -0.196, np.int64(2025): -0.02, np.int64(2026): 0.314}"
EURUSD,VE_BO,day_of_week,Monday,117,31.62,-0.287,0.67,25.0,True,"{np.int64(2023): -0.246, np.int64(2024): -0.432, np.int64(2025): 0.018, np.int64(2026): -0.695}"
EURUSD,VE_BO,day_of_week,Wednesday,143,27.97,-0.349,0.65,25.0,True,"{np.int64(2023): -0.326, np.int64(2024): -0.412, np.int64(2025): -0.569, np.int64(2026): 0.047}"
EURUSD,VE_BO,day_of_week,Friday,148,27.7,-0.383,0.62,0.0,True,"{np.int64(2023): -0.502, np.int64(2024): -0.583, np.int64(2025): -0.2, np.int64(2026): -0.055}"
EURUSD,VE_BO,day_of_week,Tuesday,141,27.66,-0.383,0.57,0.0,True,"{np.int64(2023): -0.663, np.int64(2024): -0.212, np.int64(2025): -0.379, np.int64(2026): -0.188}"
EURUSD,VE_BO,spread_bucket,Low (<=1.0p),711,30.38,-0.29,0.68,0.0,True,"{np.int64(2023): -0.4, np.int64(2024): -0.374, np.int64(2025): -0.216, np.int64(2026): -0.045}"
EURUSD,VE_BO,htf_alignment,ALIGNED,256,33.98,-0.165,0.78,25.0,True,"{np.int64(2023): -0.431, np.int64(2024): -0.127, np.int64(2025): 0.111, np.int64(2026): -0.033}"
EURUSD,VE_BO,htf_alignment,NEUTRAL,233,27.9,-0.358,0.61,25.0,True,"{np.int64(2023): -0.34, np.int64(2024): -0.615, np.int64(2025): -0.393, np.int64(2026): 0.097}"
EURUSD,VE_BO,htf_alignment,OPPOSED,222,28.83,-0.363,0.64,0.0,True,"{np.int64(2023): -0.409, np.int64(2024): -0.399, np.int64(2025): -0.345, np.int64(2026): -0.219}"
EURUSD,VE_BO,direction_label,SHORT,369,30.62,-0.283,0.7,25.0,True,"{np.int64(2023): -0.451, np.int64(2024): -0.32, np.int64(2025): -0.299, np.int64(2026): 0.063}"
EURUSD,VE_BO,direction_label,LONG,342,30.12,-0.298,0.66,0.0,True,"{np.int64(2023): -0.344, np.int64(2024): -0.427, np.int64(2025): -0.132, np.int64(2026): -0.207}"
EURUSD,MR_RG,atr_bucket,80-100% (Highest),2,100.0,1.782,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,atr_bucket,40-60% (Mid),19,36.84,-0.082,0.8,0.0,False,"{np.int64(2023): -0.167, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,atr_bucket,20-40% (Low),36,27.78,-0.586,0.42,0.0,True,"{np.int64(2023): None, np.int64(2024): -0.526, np.int64(2025): -0.825, np.int64(2026): -0.717}"
EURUSD,MR_RG,atr_bucket,0-20% (Lowest),88,27.27,-0.787,0.34,0.0,True,"{np.int64(2023): -1.129, np.int64(2024): -0.606, np.int64(2025): -0.787, np.int64(2026): -0.928}"
EURUSD,MR_RG,atr_bucket,60-80% (High),2,0.0,-1.308,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,adx_bucket,Medium (18-28),56,32.14,-0.48,0.49,0.0,True,"{np.int64(2023): -0.337, np.int64(2024): -0.159, np.int64(2025): -0.872, np.int64(2026): -0.515}"
EURUSD,MR_RG,adx_bucket,Low (<18),91,27.47,-0.704,0.51,0.0,True,"{np.int64(2023): -0.83, np.int64(2024): -0.825, np.int64(2025): -0.335, np.int64(2026): -0.635}"
EURUSD,MR_RG,trend_regime,WEAK_BEAR,19,68.42,0.68,2.62,100.0,False,"{np.int64(2023): 0.358, np.int64(2024): 0.577, np.int64(2025): 0.991, np.int64(2026): None}"
EURUSD,MR_RG,trend_regime,WEAK_BULL,16,43.75,-0.093,1.05,0.0,False,"{np.int64(2023): None, np.int64(2024): -0.361, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,trend_regime,CHOPPY,55,18.18,-0.897,0.26,0.0,True,"{np.int64(2023): -0.851, np.int64(2024): -0.727, np.int64(2025): -1.156, np.int64(2026): -0.898}"
EURUSD,MR_RG,trend_regime,RANGING,57,22.81,-0.932,0.28,0.0,True,"{np.int64(2023): -1.425, np.int64(2024): -0.819, np.int64(2025): -0.598, np.int64(2026): -1.108}"
EURUSD,MR_RG,vol_regime,HIGH_VOL,1,100.0,1.709,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,vol_regime,NORMAL_VOL,33,36.36,-0.212,0.77,25.0,True,"{np.int64(2023): 0.124, np.int64(2024): -0.575, np.int64(2025): -0.382, np.int64(2026): -0.011}"
EURUSD,MR_RG,vol_regime,EXPANSION,3,33.33,-0.233,0.89,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,vol_regime,LOW_VOL,42,30.95,-0.591,0.4,0.0,True,"{np.int64(2023): -1.129, np.int64(2024): -0.254, np.int64(2025): -1.09, np.int64(2026): -0.343}"
EURUSD,MR_RG,vol_regime,CONTRACTION,68,23.53,-0.885,0.28,0.0,True,"{np.int64(2023): -0.938, np.int64(2024): -0.83, np.int64(2025): -0.778, np.int64(2026): -1.245}"
EURUSD,MR_RG,combined_regime,WEAK_BULL__EXPANSION,1,100.0,1.855,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,CHOPPY__HIGH_VOL,1,100.0,1.709,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,WEAK_BULL__NORMAL_VOL,2,100.0,1.429,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,WEAK_BEAR__NORMAL_VOL,9,77.78,1.17,4.85,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,WEAK_BEAR__CONTRACTION,5,60.0,0.269,1.48,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,WEAK_BEAR__LOW_VOL,5,60.0,0.208,0.98,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,RANGING__LOW_VOL,6,50.0,-0.142,1.18,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,WEAK_BULL__LOW_VOL,7,28.57,-0.446,0.32,0.0,False,"{np.int64(2023): None, np.int64(2024): -0.287, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,WEAK_BULL__CONTRACTION,6,33.33,-0.515,0.54,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,CHOPPY__NORMAL_VOL,21,14.29,-0.902,0.18,0.0,False,"{np.int64(2023): -0.321, np.int64(2024): -1.229, np.int64(2025): -1.322, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,CHOPPY__LOW_VOL,24,20.83,-0.911,0.23,0.0,False,"{np.int64(2023): None, np.int64(2024): -0.557, np.int64(2025): -1.411, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,RANGING__CONTRACTION,50,20.0,-1.016,0.22,0.0,True,"{np.int64(2023): -1.386, np.int64(2024): -0.876, np.int64(2025): -0.682, np.int64(2026): -1.548}"
EURUSD,MR_RG,combined_regime,CHOPPY__CONTRACTION,7,14.29,-1.095,0.11,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,CHOPPY__EXPANSION,2,0.0,-1.276,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,combined_regime,RANGING__NORMAL_VOL,1,0.0,-1.455,0.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,session,NY_LATE,3,66.67,0.489,4.67,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
EURUSD,MR_RG,session,OVERLAP,38,36.84,-0.204,0.72,50.0,True,"{np.int64(2023): -0.007, np.int64(2024): -0.811, np.int64(2025): 0.144, np.int64(2026): 0.12}"
EURUSD,MR_RG,session,LONDON,39,25.64,-0.78,0.33,0.0,True,"{np.int64(2023): -1.007, np.int64(2024): -0.467, np.int64(2025): -0.9, np.int64(2026): None}"
EURUSD,MR_RG,session,ASIAN,67,25.37,-0.81,0.35,0.0,True,"{np.int64(2023): -1.013, np.int64(2024): -0.618, np.int64(2025): -0.804, np.int64(2026): -1.245}"
EURUSD,MR_RG,day_of_week,Monday,20,35.0,-0.391,0.7,33.3,False,"{np.int64(2023): 0.606, np.int64(2024): -0.682, np.int64(2025): -0.551, np.int64(2026): None}"
EURUSD,MR_RG,day_of_week,Thursday,40,32.5,-0.54,0.46,25.0,True,"{np.int64(2023): -0.814, np.int64(2024): -0.716, np.int64(2025): -0.113, np.int64(2026): 0.027}"
